Test Replicate #,# Larvae,Volume of Water (ml),Hours in Water,Fluor,qPCR Replicate 1,qPCR Replicate 2,qPCR Replicate 3,Species
1,0,1000,24,NA,No Ct,No Ct,No Ct,stephensi
1,1,1000,24,NA,No Ct,38.2,36.81,stephensi
1,2,1000,24,NA,34.9,34.63,33,stephensi
1,4,1000,24,NA,34.18,32.12,32.78,stephensi
1,8,1000,24,NA,23.5,26.43,28.15,stephensi
1,16,1000,24,NA,20.6,21.4,23.82,stephensi
1,32,1000,24,NA,20.18,23,23.41,stephensi
2,0,1000,24,NA,No Ct,No Ct,No Ct,stephensi
2,1,1000,24,NA,No Ct,39.89,37.65,stephensi
2,2,1000,24,NA,35.67,36.34,32.54,stephensi
2,4,1000,24,NA,33.2,34.78,32,stephensi
2,8,1000,24,NA,22.56,24.89,27.9,stephensi
2,16,1000,24,NA,19.99,23.4,21.67,stephensi
2,32,1000,24,NA,20.6,22.18,22.5,stephensi
3,0,1000,24,NA,No Ct,No Ct,No Ct,stephensi
3,1,1000,24,NA,No Ct,No Ct,36.54,stephensi
3,2,1000,24,NA,36.99,38.13,31.87,stephensi
3,4,1000,24,NA,33.67,33.79,31,stephensi
3,8,1000,24,NA,21.34,25.5,27.65,stephensi
3,16,1000,24,NA,18.99,20.04,25.44,stephensi
3,32,1000,24,NA,20.45,22.68,21.76,stephensi
1,0,1000,24,NA,No Ct,No Ct,No Ct,aegypti
1,1,1000,24,NA,39.5,38.54,39.23,aegypti
1,2,1000,24,NA,36.37,37.02,36.76,aegypti
1,4,1000,24,NA,32.16,33.21,32.54,aegypti
1,8,1000,24,NA,30.15,31.4,30.67,aegypti
1,16,1000,24,NA,28.5,28.83,29.1,aegypti
1,32,1000,24,NA,27.19,27.38,29.6,aegypti
2,0,1000,24,NA,No Ct,No Ct,No Ct,aegypti
2,1,1000,24,NA,37.2,37.15,37.87,aegypti
2,2,1000,24,NA,31.67,33.89,33.57,aegypti
2,4,1000,24,NA,32.26,33.3,32.49,aegypti
2,8,1000,24,NA,30.28,30.99,30.19,aegypti
2,16,1000,24,NA,29.1,28.96,28.7,aegypti
2,32,1000,24,NA,27.99,28.76,29.38,aegypti
3,0,1000,24,NA,No Ct,No Ct,No Ct,aegypti
3,1,1000,24,NA,36.12,37.89,35.79,aegypti
3,2,1000,24,NA,31.58,36.56,36.8,aegypti
3,4,1000,24,NA,31.87,33.79,32.5,aegypti
3,8,1000,24,NA,30.4,30.65,30.43,aegypti
3,16,1000,24,NA,28.35,28.12,29.5,aegypti
3,32,1000,24,NA,26.88,29.13,30.56,aegypti
1,0,1000,24,HEX (STH),No Ct,No Ct,No Ct,both
1,0,1000,24,FAM (AE),No Ct,No Ct,No Ct,both
1,2,1000,24,HEX (STH),31.79,30.9,30.08,both
1,2,1000,24,FAM (AE),32.86,31.89,32.58,both
1,4,1000,24,HEX (STH),31.08,30.82,30.74,both
1,4,1000,24,FAM (AE),28.63,29.26,29.03,both
1,8,1000,24,HEX (STH),32.6,31.42,31.09,both
1,8,1000,24,FAM (AE),34.52,39.49,37.17,both
1,16,1000,24,HEX (STH),35.81,32.88,33.4,both
1,16,1000,24,FAM (AE),27.84,28.55,28.09,both
1,32,1000,24,HEX (STH),27.76,28.76,27.14,both
1,32,1000,24,FAM (AE),28.15,28.42,27.29,both
2,0,1000,24,HEX (STH),No Ct,No Ct,No Ct,both
2,0,1000,24,FAM (AE),No Ct,No Ct,No Ct,both
2,2,1000,24,HEX (STH),31.74,30.33,29.96,both
2,2,1000,24,FAM (AE),31.89,31.54,32.72,both
2,4,1000,24,HEX (STH),30.52,30.8,30.47,both
2,4,1000,24,FAM (AE),28.49,29.68,29.11,both
2,8,1000,24,HEX (STH),31.66,31.67,30.96,both
2,8,1000,24,FAM (AE),34.34,37.85,37.63,both
2,16,1000,24,HEX (STH),27.6,32.91,33.27,both
2,16,1000,24,FAM (AE),27.64,28.88,28.03,both
2,32,1000,24,HEX (STH),27.47,27.92,27.55,both
2,32,1000,24,FAM (AE),27.91,28.49,27.38,both
3,0,1000,24,HEX (STH),No Ct,No Ct,No Ct,both
3,0,1000,24,FAM (AE),No Ct,No Ct,No Ct,both
3,2,1000,24,HEX (STH),31.47,30.77,30.05,both
3,2,1000,24,FAM (AE),32.68,31.67,32.82,both
3,4,1000,24,HEX (STH),30.11,30.54,30.76,both
3,4,1000,24,FAM (AE),28.58,29.28,29.02,both
3,8,1000,24,HEX (STH),32.11,31.27,31.32,both
3,8,1000,24,FAM (AE),34.1,36.46,38.13,both
3,16,1000,24,HEX (STH),35,33.25,31.65,both
3,16,1000,24,FAM (AE),27.79,29.06,27.75,both
3,32,1000,24,HEX (STH),27.44,27.92,27.43,both
3,32,1000,24,FAM (AE),27.77,28.28,27.25,both
1,0,1000,24,HEX (STH),No Ct,No Ct,No Ct,both
1,0,1000,24,FAM (AE),No Ct,No Ct,No Ct,both
1,4:40,1000,24,HEX (STH),38.23,38.15,37.9,both
1,4:40,1000,24,FAM (AE),30.93,30.56,30.68,both
2,0,1000,24,HEX (STH),No Ct,No Ct,No Ct,both
2,0,1000,24,FAM (AE),No Ct,No Ct,No Ct,both
2,4:40,1000,24,HEX (STH),36.7,35.11,37.99,both
2,4:40,1000,24,FAM (AE),29.6,28.71,28.66,both
3,0,1000,24,HEX (STH),No Ct,No Ct,No Ct,both
3,0,1000,24,FAM (AE),No Ct,No Ct,No Ct,both
3,4:40,1000,24,HEX (STH),37,36.66,37.1,both
3,4:40,1000,24,FAM (AE),29.22,29.5,29.6,both
