Anopheles stephensi ,,,,,,,
Test Replicate #,# Larvae,Volume of Water (ml),Hours in Water,qPCR Replicate 1,qPCR Replicate 2,qPCR Replicate 3,
1,32,1000,24,26.69,26.43,26.22,
1,32,1000,48,28.79,28.68,28.37,
1,32,1000,72,29.61,29.28,29.55,
1,32,1000,96,30.04,29.35,29.98,
1,32,1000,120,30.27,30.02,30.1,
1,32,1000,144,32.03,31.78,31.65,
1,32,1000,168,31.93,31.92,31.91,
1,32,1000,192,31.5,31.84,32.26,
1,32,1000,216,32.39,32.67,32.48,
1,32,1000,240,32.42,31.12,33.11,
1,32,1000,264,34.63,33.08,33.89,
1,32,1000,288,37.9,36.89,37.52,
1,32,1000,312,No Ct,No Ct,No Ct,
1,32,1000,336,No Ct,No Ct,No Ct,
2,32,1000,24,29.82,29.83,29.96,
2,32,1000,48,28.69,28.51,28.37,
2,32,1000,72,29.23,29.13,29.2,
2,32,1000,96,29.99,30.14,29.84,
2,32,1000,120,29.98,29.98,29.23,
2,32,1000,144,32.26,30.67,31.74,
2,32,1000,168,31.22,30.97,31.33,
2,32,1000,192,31.08,31.09,31.07,
2,32,1000,216,33.31,33.69,33.43,
2,32,1000,240,33.11,32.73,31.28,
2,32,1000,264,33.89,33.15,32.95,
2,32,1000,288,37.52,37.04,36.93,
2,32,1000,312,No Ct,No Ct,No Ct,
2,32,1000,336,No Ct,No Ct,No Ct,
3,32,1000,24,30.18,30.52,30.41,
3,32,1000,48,27.9,27.67,27.83,
3,32,1000,72,28.32,28.37,28.05,
3,32,1000,96,29.14,29.54,29.47,
3,32,1000,120,28.56,28.54,28.64,
3,32,1000,144,30.35,29.66,30.53,
3,32,1000,168,31.06,31.21,30.87,
3,32,1000,192,31.51,31.29,32.37,
3,32,1000,216,32.91,31.45,33.07,
3,32,1000,240,32.86,33.06,33.43,
3,32,1000,264,34.4,33.26,34.72,
3,32,1000,288,36.49,35.5,36.88,
3,32,1000,312,No Ct,No Ct,No Ct,
3,32,1000,336,No Ct,No Ct,No Ct,
1,0,1000,24,,No Ct,No Ct,No Ct
1,0,1000,48,,No Ct,No Ct,No Ct
1,0,1000,72,,No Ct,No Ct,No Ct
1,0,1000,96,,No Ct,No Ct,No Ct
1,0,1000,120,,No Ct,No Ct,No Ct
1,0,1000,144,,No Ct,No Ct,No Ct
1,0,1000,168,,No Ct,No Ct,No Ct
1,0,1000,192,,No Ct,No Ct,No Ct
1,0,1000,216,,No Ct,No Ct,No Ct
1,0,1000,240,,No Ct,No Ct,No Ct
1,0,1000,264,,No Ct,No Ct,No Ct
1,0,1000,288,,No Ct,No Ct,No Ct
1,0,1000,312,,No Ct,No Ct,No Ct
1,0,1000,336,,No Ct,No Ct,No Ct
2,0,1000,24,,No Ct,No Ct,No Ct
2,0,1000,48,,No Ct,No Ct,No Ct
2,0,1000,72,,No Ct,No Ct,No Ct
2,0,1000,96,,No Ct,No Ct,No Ct
2,0,1000,120,,No Ct,No Ct,No Ct
2,0,1000,144,,No Ct,No Ct,No Ct
2,0,1000,168,,No Ct,No Ct,No Ct
2,0,1000,192,,No Ct,No Ct,No Ct
2,0,1000,216,,No Ct,No Ct,No Ct
2,0,1000,240,,No Ct,No Ct,No Ct
2,0,1000,264,,No Ct,No Ct,No Ct
2,0,1000,288,,No Ct,No Ct,No Ct
2,0,1000,312,,No Ct,No Ct,No Ct
2,0,1000,336,,No Ct,No Ct,No Ct
3,0,1000,24,,No Ct,No Ct,No Ct
3,0,1000,48,,No Ct,No Ct,No Ct
3,0,1000,72,,No Ct,No Ct,No Ct
3,0,1000,96,,No Ct,No Ct,No Ct
3,0,1000,120,,No Ct,No Ct,No Ct
3,0,1000,144,,No Ct,No Ct,No Ct
3,0,1000,168,,No Ct,No Ct,No Ct
3,0,1000,192,,No Ct,No Ct,No Ct
3,0,1000,216,,No Ct,No Ct,No Ct
3,0,1000,240,,No Ct,No Ct,No Ct
3,0,1000,264,,No Ct,No Ct,No Ct
3,0,1000,288,,No Ct,No Ct,No Ct
3,0,1000,312,,No Ct,No Ct,No Ct
3,0,1000,336,,No Ct,No Ct,No Ct
